Institution Code (six-digit OPEID),Institution Name,City,State,Zip,Institution Type,CIP Code,CIP Name,Credential Level,Official Program Pass/Zone/Fail,Appeal Status,Debt-to-Earnings Annual Rate,Debt-to-Earnings Annual Rate Numerator,Debt-to-Earnings Annual Rate Denominator,Debt-to-Earnings Annual Rate Pass/Fail/Zone,Debt-to-Earnings Discretionary Income Rate,Debt-to-Earnings Discretionary Income Rate Numerator,Debt-to-Earnings Discretionary Income Rate Denominator,Debt-to-Earnings Discretionary Income Rate Pass/Fail/Zone,Debt-to-Earnings Transitional Rate,Debt-to-Earnings Transitional Rate Numerator,Debt-to-Earnings Transitional Rate Denominator,Debt-to-Earnings Transitional Rate Pass/Fail/Zone,Debt-to-Earnings Transitional Discretionary Income Rate,Debt-to-Earnings Transitional Discretionary Income Rate Numerator,Debt-to-Earnings Transitional Discretionary Income Rate Denominator,Debt-to-Earnings Transitional Discretionary Income Rate Pass/Fail/Zone,Mean  Annual Earnings,Median Annual Earnings
001030,BISHOP STATE COMMUNITY COLLEGE,MOBILE,AL,366035898,PUBLIC 2 TO 3 YEARS,490205,TRUCK AND BUS DRIVER/COMMERCIAL VEHICLE OPERATOR AND INSTRUCTOR.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,26876,PASS,0,0,9221,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26876,19416
001030,BISHOP STATE COMMUNITY COLLEGE,MOBILE,AL,366035898,PUBLIC 2 TO 3 YEARS,513901,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,32844,PASS,0,0,15189,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30618,32844
001034,ALABAMA SOUTHERN COMMUNITY COLLEGE,MONROEVILLE,AL,364605698,PUBLIC 2 TO 3 YEARS,120401,"COSMETOLOGY/COSMETOLOGIST, GENERAL.",01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,9731,PASS,0,0,0,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9731,9701
001034,ALABAMA SOUTHERN COMMUNITY COLLEGE,MONROEVILLE,AL,364605698,PUBLIC 2 TO 3 YEARS,480508,WELDING TECHNOLOGY/WELDER.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,29307,PASS,0,0,11652,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29307,29256
001034,ALABAMA SOUTHERN COMMUNITY COLLEGE,MONROEVILLE,AL,364605698,PUBLIC 2 TO 3 YEARS,513901,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,27681,PASS,0,0,10026,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26875,27681
001040,SOUTHERN UNION STATE COMMUNITY COLLEGE,WADLEY,AL,362760000,PUBLIC 2 TO 3 YEARS,513901,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,31439,PASS,0,0,13784,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27676,31439
001052,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,352941150,PUBLIC 4 YEARS OR MORE,510501,"DENTAL CLINICAL SCIENCES, GENERAL.",08 - GRADUATE CERTIFICATE,PASS,,1.97,4431,224499,PASS,2.14,4431,206844,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,224499,179788
001057,UNIVERSITY OF SOUTH ALABAMA,MOBILE,AL,366880002,PUBLIC 4 YEARS OR MORE,510911,RADIOLOGIC TECHNOLOGY/SCIENCE - RADIOGRAPHER.,01 - UNDERGRADUATE CERTIFICATE,PASS,,4.64,2071,44627,PASS,7.67,2071,26972,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44627,43181
001059,LAWSON STATE COMMUNITY COLLEGE,BIRMINGHAM,AL,352211798,PUBLIC 2 TO 3 YEARS,120401,"COSMETOLOGY/COSMETOLOGIST, GENERAL.",01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,11550,PASS,0,0,0,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11304,11550
001059,LAWSON STATE COMMUNITY COLLEGE,BIRMINGHAM,AL,352211798,PUBLIC 2 TO 3 YEARS,120402,BARBERING/BARBER.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,9961,PASS,0,0,0,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9961,5288
001059,LAWSON STATE COMMUNITY COLLEGE,BIRMINGHAM,AL,352211798,PUBLIC 2 TO 3 YEARS,150501,"HEATING, VENTILATION, AIR CONDITIONING AND REFRIGERATION ENGINEERING TECHNOLOGY/TECHNICIAN.",01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,37009,PASS,0,0,19354,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37009,33789
001059,LAWSON STATE COMMUNITY COLLEGE,BIRMINGHAM,AL,352211798,PUBLIC 2 TO 3 YEARS,190505,FOODSERVICE SYSTEMS ADMINISTRATION/MANAGEMENT.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,12611,PASS,0,0,0,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12611,11479
001059,LAWSON STATE COMMUNITY COLLEGE,BIRMINGHAM,AL,352211798,PUBLIC 2 TO 3 YEARS,470603,AUTOBODY/COLLISION AND REPAIR TECHNOLOGY/TECHNICIAN.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,19027,PASS,0,0,1372,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18304,19027
001059,LAWSON STATE COMMUNITY COLLEGE,BIRMINGHAM,AL,352211798,PUBLIC 2 TO 3 YEARS,510601,DENTAL ASSISTING/ASSISTANT.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,17599,PASS,0,0,0,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17599,17125
001059,LAWSON STATE COMMUNITY COLLEGE,BIRMINGHAM,AL,352211798,PUBLIC 2 TO 3 YEARS,513901,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,39597,PASS,0,0,21942,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39597,37565
001065,UNIVERSITY OF ALASKA SOUTHEAST,JUNEAU,AK,998018680,PUBLIC 4 YEARS OR MORE,131001,"SPECIAL EDUCATION AND TEACHING, GENERAL.",08 - GRADUATE CERTIFICATE,PASS,,2.83,1757,61937,PASS,3.96,1757,44282,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59090,61937
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,130101,"EDUCATION, GENERAL.",05 - MASTERS DEGREE,PASS,,3.46,1853,53494,PASS,5.17,1853,35839,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53494,53248
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,130301,CURRICULUM AND INSTRUCTION.,05 - MASTERS DEGREE,PASS,,3.77,1906,50546,PASS,5.79,1906,32891,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50546,50361
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,130401,"EDUCATIONAL LEADERSHIP AND ADMINISTRATION, GENERAL.",05 - MASTERS DEGREE,PASS,,3.91,2299,58768,PASS,5.59,2299,41113,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58768,57252
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,130404,"EDUCATIONAL, INSTRUCTIONAL, AND CURRICULUM SUPERVISION.",05 - MASTERS DEGREE,PASS,,3.74,2005,53602,PASS,5.57,2005,35947,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53602,45838
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,131001,"SPECIAL EDUCATION AND TEACHING, GENERAL.",03 - BACHELORS DEGREE,ZONE,,11.85,3895,32863,ZONE,25.61,3895,15208,ZONE,13.55,4453,32863,FAIL,29.28,4453,15208,ZONE,31484,32863
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,131001,"SPECIAL EDUCATION AND TEACHING, GENERAL.",05 - MASTERS DEGREE,PASS,,5.61,2530,45085,PASS,9.22,2530,27430,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43848,45085
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,131202,ELEMENTARY EDUCATION AND TEACHING.,03 - BACHELORS DEGREE,ZONE,,12.02,3675,30571,FAIL,28.45,3675,12916,ZONE,12.89,3941,30571,FAIL,30.51,3941,12916,FAIL,28619,30571
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,131202,ELEMENTARY EDUCATION AND TEACHING.,05 - MASTERS DEGREE,PASS,,7.02,2741,39039,PASS,12.81,2741,21384,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35680,39039
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,131205,SECONDARY EDUCATION AND TEACHING.,03 - BACHELORS DEGREE,ZONE,,10.28,3604,35045,ZONE,20.72,3604,17390,ZONE,10.78,3781,35045,ZONE,21.74,3781,17390,ZONE,33059,35045
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,131205,SECONDARY EDUCATION AND TEACHING.,05 - MASTERS DEGREE,PASS,,5.74,2476,43118,PASS,9.72,2476,25463,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41965,43118
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,131210,EARLY CHILDHOOD EDUCATION AND TEACHING.,05 - MASTERS DEGREE,PASS,,5.37,2305,42910,PASS,9.12,2305,25255,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42910,42701
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,131401,TEACHING ENGLISH AS A SECOND OR FOREIGN LANGUAGE/ESL LANGUAGE INSTRUCTOR.,05 - MASTERS DEGREE,PASS,,4.03,2042,50603,PASS,6.19,2042,32948,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49817,50603
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,390401,RELIGIOUS EDUCATION.,05 - MASTERS DEGREE,ZONE,,8.74,2528,28915,ZONE,22.45,2528,11260,ZONE,8.82,2552,28915,ZONE,22.66,2552,11260,ZONE,28915,22444
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,430104,CRIMINAL JUSTICE/SAFETY STUDIES.,05 - MASTERS DEGREE,PASS,,5.77,2823,48841,PASS,9.05,2823,31186,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48841,43503
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,430202,FIRE SERVICES ADMINISTRATION.,05 - MASTERS DEGREE,PASS,,1.96,1925,97983,PASS,2.39,1925,80328,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97567,97983
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,430302,CRISIS/EMERGENCY/DISASTER MANAGEMENT.,03 - BACHELORS DEGREE,PASS,,2.95,1997,67619,PASS,3.99,1997,49964,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64900,67619
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,440401,PUBLIC ADMINISTRATION.,05 - MASTERS DEGREE,PASS,,4.66,2725,58388,PASS,6.68,2725,40733,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58388,50768
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,510908,RESPIRATORY CARE THERAPY/THERAPIST.,03 - BACHELORS DEGREE,PASS,,3.71,2262,60840,PASS,5.23,2262,43185,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56375,60840
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,511099,"CLINICAL/MEDICAL LABORATORY SCIENCE AND ALLIED PROFESSIONS, OTHER.",03 - BACHELORS DEGREE,PASS,,3.09,1801,58124,PASS,4.45,1801,40469,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58124,54873
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,511501,SUBSTANCE ABUSE/ADDICTION COUNSELING.,03 - BACHELORS DEGREE,PASS,,6.41,1947,30364,PASS,15.31,1947,12709,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30364,28238
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,511501,SUBSTANCE ABUSE/ADDICTION COUNSELING.,05 - MASTERS DEGREE,PASS,,6.22,2297,36900,PASS,11.93,2297,19245,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35560,36900
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,511508,MENTAL HEALTH COUNSELING/COUNSELOR.,05 - MASTERS DEGREE,PASS,,9.42,3656,38799,ZONE,17.29,3656,21144,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35519,38799
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,513801,REGISTERED NURSING/REGISTERED NURSE.,03 - BACHELORS DEGREE,PASS,,2.34,1832,78099,PASS,3.03,1832,60444,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78099,75987
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,513801,REGISTERED NURSING/REGISTERED NURSE.,05 - MASTERS DEGREE,PASS,,2.9,2352,80990,PASS,3.71,2352,63335,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80011,80990
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,513802,NURSING ADMINISTRATION.,05 - MASTERS DEGREE,PASS,,2.36,2360,99676,PASS,2.87,2360,82021,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99676,94402
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,513805,FAMILY PRACTICE NURSE/NURSING.,05 - MASTERS DEGREE,PASS,,2.79,2906,104048,PASS,3.36,2906,86393,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94612,104048
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,519999,"HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES, OTHER.",03 - BACHELORS DEGREE,PASS,,3.92,2440,62137,PASS,5.48,2440,44482,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62137,58525
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,520201,"BUSINESS ADMINISTRATION AND MANAGEMENT, GENERAL.",03 - BACHELORS DEGREE,PASS,,4.23,2343,55324,PASS,6.21,2343,37669,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55324,47206
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,520201,"BUSINESS ADMINISTRATION AND MANAGEMENT, GENERAL.",05 - MASTERS DEGREE,PASS,,3.86,2566,66402,PASS,5.26,2566,48747,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66402,59267
001074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,850173030,PROPRIETARY 4 YEARS OR MORE,520301,ACCOUNTING.,03 - BACHELORS DEGREE,PASS,,6.1,2418,39599,PASS,11.01,2418,21944,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39599,37289
001076,GLENDALE COMMUNITY COLLEGE,GLENDALE,AZ,853023090,PUBLIC 2 TO 3 YEARS,430203,FIRE SCIENCE/FIRE-FIGHTING.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,38721,PASS,0,0,21066,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38721,34370
001076,GLENDALE COMMUNITY COLLEGE,GLENDALE,AZ,853023090,PUBLIC 2 TO 3 YEARS,513901,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0.54,293,53746,PASS,0.81,293,36091,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52972,53746
001077,MESA COMMUNITY COLLEGE,MESA,AZ,852024866,PUBLIC 2 TO 3 YEARS,430203,FIRE SCIENCE/FIRE-FIGHTING.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,40587,PASS,0,0,22932,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40587,35282
001077,MESA COMMUNITY COLLEGE,MESA,AZ,852024866,PUBLIC 2 TO 3 YEARS,500408,INTERIOR DESIGN.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,20807,PASS,0,0,3152,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20807,19493
001077,MESA COMMUNITY COLLEGE,MESA,AZ,852024866,PUBLIC 2 TO 3 YEARS,513901,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0.55,320,57742,PASS,0.79,320,40087,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55557,57742
001078,PHOENIX COLLEGE,PHOENIX,AZ,850134234,PUBLIC 2 TO 3 YEARS,220302,LEGAL ASSISTANT/PARALEGAL.,01 - UNDERGRADUATE CERTIFICATE,PASS,,1.78,552,30945,PASS,4.15,552,13290,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28055,30945
001078,PHOENIX COLLEGE,PHOENIX,AZ,850134234,PUBLIC 2 TO 3 YEARS,430106,FORENSIC SCIENCE AND TECHNOLOGY.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,30911,PASS,0,0,13256,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25836,30911
001078,PHOENIX COLLEGE,PHOENIX,AZ,850134234,PUBLIC 2 TO 3 YEARS,510801,MEDICAL/CLINICAL ASSISTANT.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,23985,PASS,0,0,6330,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21661,23985
001079,YAVAPAI COLLEGE,PRESCOTT,AZ,863013297,PUBLIC 2 TO 3 YEARS,240102,GENERAL STUDIES.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0,0,21854,PASS,0,0,4199,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21854,20970
001081,ARIZONA STATE UNIVERSITY,TEMPE,AZ,852870412,PUBLIC 4 YEARS OR MORE,521101,INTERNATIONAL BUSINESS/TRADE/COMMERCE.,01 - UNDERGRADUATE CERTIFICATE,PASS,,3.64,1933,53098,PASS,5.45,1933,35443,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53098,51940
001082,NORTHERN ARIZONA UNIVERSITY,FLAGSTAFF,AZ,860110001,PUBLIC 4 YEARS OR MORE,130408,ELEMENTARY AND MIDDLE SCHOOL ADMINISTRATION/PRINCIPALSHIP.,08 - GRADUATE CERTIFICATE,PASS,,3.94,2414,61193,PASS,5.54,2414,43538,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61193,60238
001085,UNIVERSITY OF ARKANSAS AT MONTICELLO,MONTICELLO,AR,716560000,PUBLIC 4 YEARS OR MORE,150403,ELECTROMECHANICAL TECHNOLOGY/ELECTROMECHANICAL ENGINEERING TECHNOLOGY.,01 - UNDERGRADUATE CERTIFICATE,PASS,,0.64,426,66497,PASS,0.87,426,48842,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55902,66497
001085,UNIVERSITY OF ARKANSAS AT MONTICELLO,MONTICELLO,AR,716560000,PUBLIC 4 YEARS OR MORE,150499,"ELECTROMECHANICAL AND INSTRUMENTATION AND MAINTENANCE TECHNOLOGIES/TECHNICIANS, OTHER.",01 - UNDERGRADUATE CERTIFICATE,PASS,,0.81,481,58680,PASS,1.17,481,41025,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57924,58680
001085,UNIVERSITY OF ARKANSAS AT MONTICELLO,MONTICELLO,AR,716560000,PUBLIC 4 YEARS OR MORE,470303,INDUSTRIAL MECHANICS AND MAINTENANCE TECHNOLOGY.,01 - UNDERGRADUATE CERTIFICATE,PASS,,4.38,655,14939,PASS,100,655,0,FAIL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14939,10910
001085,UNIVERSITY OF ARKANSAS AT MONTICELLO,MONTICELLO,AR,716560000,PUBLIC 4 YEARS OR MORE,510707,HEALTH INFORMATION/MEDICAL RECORDS TECHNOLOGY/TECHNICIAN.,01 - UNDERGRADUATE CERTIFICATE,PASS,,2.73,535,19569,PASS,27.95,535,1914,ZONE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17667,19569
001085,UNIVERSITY OF ARKANSAS AT MONTICELLO,MONTICELLO,AR,716560000,PUBLIC 4 YEARS OR MORE,513901,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,,3.33,948,28444,PASS,8.78,948,10789,PASS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25708,28444
001085,UNIVERSITY OF ARKANSAS AT MONTICELLO,MONTICELLO,AR,716560000,PUBLIC 4 YEARS OR MORE,520401,"ADMINISTRATIVE ASSISTANT AND SECRETARIAL SCIENCE, GENERAL.",01 - UNDERGRADUATE CERTIFICATE,PASS,,3.16,509,16083,PASS,100,509,0,FAIL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15218,16083
