schoolname,for profit,tuition revenue per fte,branches,instructional expenditure per fte,faculty salary,under investigation,5 year declining balance,7 yr repayment completion,percent fafsa,percent pell grant,type
California State University,non profit,3810.0,1,6613.0,8111.0,no,0.657000192,0.8768191268,0.7057681325,0.858252427,non profit
Humboldt State University,non profit,4825.0,1,8376.0,8118.0,no,0.6102886751,0.8152866242,0.7382990868,0.781678082,non profit
California State University,non profit,5144.0,1,7426.0,8470.0,no,0.6936134688,0.8395721925,0.7608584131,0.813183995,non profit
San Diego State University,non profit,8399.526398000624,2,7178.855513901906,7801.729407514451,no,0.6942699171,0.8564127525,0.7684560163,0.679417122,non profit
California State University,non profit,6041.0,1,6730.0,8457.0,no,0.637599094,0.8521709166,0.7903870081,0.828891363,non profit
San Francisco State University,non profit,6348.0,1,8331.0,9248.0,no,0.658123435,0.8301130149,0.8007744828,0.743605421,non profit
San Jose State University,non profit,7716.0,1,8357.0,9171.0,no,0.7681706626,0.6995418344619443,0.8177975782,0.768334476,non profit
Sonoma State University,non profit,6952.0,1,7664.0,8659.0,no,0.7063848921,0.8513053348,0.8007838014,0.611365121,non profit
California State University,non profit,4697.0,1,8321.0,8039.0,no,0.681268252,0.6995418344619443,0.6685214626,0.8290938,non profit
Cerritos College,non profit,700.0,1,5301.0,9376.0,no,0.426199262,0.6333333333,0.5412376287,0.985704289,non profit
Chabot College,non profit,1081.0,1,5154.0,8167.0,no,0.3510638298,0.6995418344619443,0.5,0.985904255,non profit
